country_code,ev_models,demand_score,median_launch,demand_score_filled
AE,21,0.8575031263667221,2021.0,0.8575031263667221
AR,1,0.8464638256037036,2021.0,0.8464638256037036
AT,111,0.8920370892166337,2022.0,0.8920370892166337
BE,111,0.8920370892166337,2022.0,0.8920370892166337
BG,111,0.8920370892166337,2022.0,0.8920370892166337
BH,21,0.8575031263667221,2021.0,0.8575031263667221
BO,1,0.8464638256037036,2021.0,0.8464638256037036
BR,1,0.8464638256037036,2021.0,0.8464638256037036
CA,5,0.8385855157532939,2021.0,0.8385855157532939
CL,1,0.8464638256037036,2021.0,0.8464638256037036
CN,26,0.8942497355310087,2021.0,0.8942497355310087
CO,1,0.8464638256037036,2021.0,0.8464638256037036
CR,1,0.8464638256037036,2021.0,0.8464638256037036
CU,1,0.8464638256037036,2021.0,0.8464638256037036
CY,111,0.8920370892166337,2022.0,0.8920370892166337
CZ,111,0.8920370892166337,2022.0,0.8920370892166337
DE,111,0.8920370892166337,2022.0,0.8920370892166337
DK,111,0.8920370892166337,2022.0,0.8920370892166337
DO,1,0.8464638256037036,2021.0,0.8464638256037036
EC,1,0.8464638256037036,2021.0,0.8464638256037036
EE,111,0.8920370892166337,2022.0,0.8920370892166337
ES,111,0.8920370892166337,2022.0,0.8920370892166337
FI,111,0.8920370892166337,2022.0,0.8920370892166337
FR,111,0.8920370892166337,2022.0,0.8920370892166337
GB,90,0.8923172369087345,2022.0,0.8923172369087345
GR,111,0.8920370892166337,2022.0,0.8920370892166337
GT,1,0.8464638256037036,2021.0,0.8464638256037036
HN,1,0.8464638256037036,2021.0,0.8464638256037036
HR,111,0.8920370892166337,2022.0,0.8920370892166337
HU,111,0.8920370892166337,2022.0,0.8920370892166337
IE,111,0.8920370892166337,2022.0,0.8920370892166337
IL,21,0.8575031263667221,2021.0,0.8575031263667221
IQ,21,0.8575031263667221,2021.0,0.8575031263667221
IR,21,0.8575031263667221,2021.0,0.8575031263667221
IT,111,0.8920370892166337,2022.0,0.8920370892166337
JO,21,0.8575031263667221,2021.0,0.8575031263667221
JP,7,0.8704182151893617,2022.0,0.8704182151893617
KW,21,0.8575031263667221,2021.0,0.8575031263667221
LB,21,0.8575031263667221,2021.0,0.8575031263667221
LT,111,0.8920370892166337,2022.0,0.8920370892166337
LU,111,0.8920370892166337,2022.0,0.8920370892166337
LV,111,0.8920370892166337,2022.0,0.8920370892166337
MT,111,0.8920370892166337,2022.0,0.8920370892166337
MX,1,0.8464638256037036,2021.0,0.8464638256037036
NI,1,0.8464638256037036,2021.0,0.8464638256037036
NL,111,0.8920370892166337,2022.0,0.8920370892166337
OM,21,0.8575031263667221,2021.0,0.8575031263667221
PA,1,0.8464638256037036,2021.0,0.8464638256037036
PE,1,0.8464638256037036,2021.0,0.8464638256037036
PL,111,0.8920370892166337,2022.0,0.8920370892166337
PS,21,0.8575031263667221,2021.0,0.8575031263667221
PT,111,0.8920370892166337,2022.0,0.8920370892166337
PY,1,0.8464638256037036,2021.0,0.8464638256037036
QA,21,0.8575031263667221,2021.0,0.8575031263667221
RO,111,0.8920370892166337,2022.0,0.8920370892166337
SA,21,0.8575031263667221,2021.0,0.8575031263667221
SE,111,0.8920370892166337,2022.0,0.8920370892166337
SI,111,0.8920370892166337,2022.0,0.8920370892166337
SK,111,0.8920370892166337,2022.0,0.8920370892166337
SV,1,0.8464638256037036,2021.0,0.8464638256037036
SY,21,0.8575031263667221,2021.0,0.8575031263667221
TR,21,0.8575031263667221,2021.0,0.8575031263667221
US,60,0.881800972984704,2021.5,0.881800972984704
UY,1,0.8464638256037036,2021.0,0.8464638256037036
VE,1,0.8464638256037036,2021.0,0.8464638256037036
VN,2,0.9499999637795313,2022.5,0.9499999637795313
YE,21,0.8575031263667221,2021.0,0.8575031263667221
