country_code,fast_actual_share,fast_predicted_share,demand_score_filled,actual_gap,predicted_gap,station_count,risk_level
NL,0.04375231738969225,0.13181480477817115,0.8920370892166337,0.8482847718269415,0.7602222844384625,8091,High
FR,0.12981465392412395,0.32657235906422494,0.8920370892166337,0.7622224352925098,0.5654647301524087,13812,High
BE,0.1285140562248996,0.33034012280141817,0.8920370892166337,0.7635230329917342,0.5616969664152156,1245,High
DK,0.13360881542699724,0.3356481163564032,0.8920370892166337,0.7584282737896365,0.5563889728602305,2178,High
DE,0.13965354600806107,0.36605515823619134,0.8920370892166337,0.7523835432085726,0.5259819309804423,23322,High
GB,0.16541100999552438,0.4152586777487808,0.8923172369087345,0.7269062269132102,0.47705855915995377,26812,High
AT,0.1765625,0.4176853902881666,0.8920370892166337,0.7154745892166336,0.4743516989284671,1280,High
US,0.17679852327209208,0.43065801153825767,0.881800972984704,0.7050024497126118,0.4511429614464463,80719,High
FI,0.19487453283502404,0.4607261248844833,0.8920370892166337,0.6971625563816097,0.43131096433215044,1873,High
JP,0.19585112873703478,0.45618852819735933,0.8704182151893617,0.6745670864523269,0.41422968699200235,1639,High
